Filename                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
MongoKittenCore/Commands/Drop.swift                                    2                 1    50.00%           2                 1    50.00%           4                 3    25.00%
MongoKittenCore/Commands/Find.swift                                    2                 1    50.00%           2                 1    50.00%           5                 1    80.00%
MongoKittenCore/Commands/FindAndModify.swift                           2                 2     0.00%           2                 2     0.00%          16                16     0.00%
MongoKittenCore/Commands/Insert.swift                                  2                 1    50.00%           2                 1    50.00%           5                 1    80.00%
MongoKittenCore/Commands/ListCollections.swift                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%
MongoKittenCore/Commands/ListDatabases.swift                           1                 1     0.00%           1                 1     0.00%           1                 1     0.00%
MongoKittenCore/Commands/Update.swift                                  4                 2    50.00%           4                 2    50.00%          16                 8    50.00%
MongoKittenCore/Cursor.swift                                           1                 1     0.00%           1                 1     0.00%           1                 1     0.00%
MongoKittenCore/QueryPrimitives/Projection.swift                      35                35     0.00%          19                19     0.00%          82                82     0.00%
MongoKittenCore/QueryPrimitives/QueryBuilder.swift                    38                37     2.63%          38                37     2.63%         134               127     5.22%
MongoKittenCore/QueryPrimitives/Sort.swift                            15                15     0.00%           8                 8     0.00%          35                35     0.00%
_MongoKittenCrypto/HMAC.swift                                          6                 1    83.33%           2                 0   100.00%          25                 1    96.00%
_MongoKittenCrypto/Hash.swift                                         15                 0   100.00%           6                 0   100.00%          85                 0   100.00%
_MongoKittenCrypto/Hex.swift                                           3                 0   100.00%           1                 0   100.00%          11                 0   100.00%
_MongoKittenCrypto/MD5.swift                                          14                 0   100.00%           7                 0   100.00%          78                 0   100.00%
_MongoKittenCrypto/PBKDF2.swift                                       35                10    71.43%          18                 7    61.11%         122                13    89.34%
_MongoKittenCrypto/SHA1.swift                                         16                 0   100.00%           7                 0   100.00%         103                 0   100.00%
_MongoKittenCrypto/SHA256.swift                                       13                 0   100.00%           7                 0   100.00%         106                 0   100.00%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                               1478               962    34.91%         799               526    34.17%        5941              3500    41.09%
